DEPARTAMENTO,CIUDAD,NOMBRE CONCESIONARIO,NOMBRE EMISORA,CODIGO EMISORA,DISTINTIVO,FRECUENCIA,BANDA,"CLASE DE
EMISORA",LONGITUD,LATITUD
AMAZONAS,LETICIA,CARACOL PRIMERA CADENA RADIAL COLOMBIANA S.A.,CARACOL,52626,HJF90,93.9 MHz,FM,COMERCIAL,-69.93929336889462,-4.20825605
AMAZONAS,LETICIA,RADIO TELEVISION NACIONAL DE COLOMBIA,RADIO NACIONAL DE COLOMBIA,53260,HKR74,95.5 MHz,FM,INTERES PUBLICO,-69.93929336889462,-4.20825605
AMAZONAS,PUERTO NARINO,RADIO TELEVISION NACIONAL DE COLOMBIA,RADIO NACIONAL DE COLOMBIA,53559,HJD27,102.9 MHz,FM,INTERES PUBLICO,-70.46672619620746,-3.57536685
AMAZONAS,LETICIA,POLICIA NACIONAL DE COLOMBIA,POLICIA NACIONAL 98.9 LETICIA,52902,HJF91,98.9 MHz,FM,INTERES PUBLICO,-69.93929336889462,-4.20825605
AMAZONAS,LETICIA,GOBERNACION DEL AMAZONAS,EMISORA DE INTERES PUBLICO EN LETICIA,53310,HJC32,97.9 MHz,FM,INTERES PUBLICO,-69.93929336889462,-4.20825605
ANTIOQUIA,GUARNE,KOKORICOLOR LIMITADA,ALFA STEREO 106.3 LA FM,52099,HJA74,106.3 MHz,FM,COMERCIAL,-75.4426875,6.2800171
ANTIOQUIA,APARTADO,BANAGRO S.A.S,APARTADO ESTEREO ,52101,HJB70,103.3 MHz,FM,COMERCIAL,-76.6227461,7.8849011
ANTIOQUIA,MEDELLIN,CARACOL PRIMERA CADENA RADIAL COLOMBIANA S.A.,BESAME,51877,HJDW,94.9 MHz,FM,COMERCIAL,-75.573553,6.2443382
ANTIOQUIA,BELLO,FAMOSA S.A.S,BLU RADIO,52165,HJD78,97.9 MHz,FM,COMERCIAL,-75.5582665,6.334997
ANTIOQUIA,MEDELLIN,CAMARA DE COMERCIO DE MEDELLIN PARA ANTIOQUIA,CAMARA FM,51988,HJUC,95.9 MHz,FM,COMERCIAL,-75.573553,6.2443382
ANTIOQUIA,SABANETA,CARACOL PRIMERA CADENA RADIAL COLOMBIANA S.A.,CARACOL RADIO RADIOACTIVA,52179,HJE27,90.3 MHz,FM,COMERCIAL,-75.6153715,6.1515344
ANTIOQUIA,BELLO,RADIO CADENA NACIONAL S.A.S,EL SOL 107.9,52076,HJXW,107.9 MHz,FM,COMERCIAL,-75.5582665,6.334997
ANTIOQUIA,LA ESTRELLA,ESTRELLA GRUPO EMPRESARIAL S.A,ESTRELLA ESTEREO,51944,HJTD,104.3 MHz,FM,COMERCIAL,-75.6433878,6.1576781
ANTIOQUIA,MEDELLIN,SERVICIO RADIAL INTEGRADO S.A.S.,FANTASTICA,51880,HJIK,96.9 MHz,FM,COMERCIAL,-75.573553,6.2443382
ANTIOQUIA,GIRARDOTA,VITAL INVERSIONES S.A.,FIESTA ESTEREO,52629,HJG42,94.4 MHz,FM,COMERCIAL,-75.4459762,6.3773809
ANTIOQUIA,COPACABANA,SISTEMA SONORO DE COLOMBIA LTDA.,GUASCA FM 88.9,52628,HJG38,88.9 MHz,FM,COMERCIAL,-75.5080262,6.3461047
